event_id_cnty,country,year,ntl_mean_5km,ntl_p90_5km,ntl_std_5km,ntl_year
ARG11132,Argentina,2022,9.56873660639252,31.19553565979004,14.31194431878106,2021
ARG9393,Argentina,2022,21.242161647842515,51.08671188354492,18.62771667008221,2021
ARG9693,Argentina,2022,21.242161647842515,51.08671188354492,18.62771667008221,2021
ARG10065,Argentina,2022,21.242161647842515,51.08671188354492,18.62771667008221,2021
ARG10423,Argentina,2022,21.242161647842515,51.08671188354492,18.62771667008221,2021
ARG10316,Argentina,2022,21.242161647842515,51.08671188354492,18.62771667008221,2021
ARG11326,Argentina,2022,21.242161647842515,51.08671188354492,18.62771667008221,2021
ARG11669,Argentina,2022,21.242161647842515,51.08671188354492,18.62771667008221,2021
ARG11703,Argentina,2022,21.242161647842515,51.08671188354492,18.62771667008221,2021
ARG11851,Argentina,2022,21.242161647842515,51.08671188354492,18.62771667008221,2021
